Lender Type,Lender Count,Loans Approved,Net Dollars
Banks and S&Ls($10B or more),112,"1,807,532",118331350203.00
Banks and S&Ls(less than $10B),"4,105","1,812,102",101504685266.00
Fintechs (and other State Regulated),41,"1,210,098",21918632833.00
Small Business Lending Companies,13,"823,576",15463750507.00
Microlenders,34,"532,480",8540740467.00
Credit Unions (less than $10B),851,"152,366",5160428953.00
Non Bank CDFI Funds,9,"276,271",5047040642.00
Farm Credit Lenders,47,"35,923",870150045.00
Credit Unions ($10B or more),8,"14,903",438573935.00
Certified Development Companies,19,"16,409",419677207.00
To Be Confirmed,2,250,4779785.00
BIDCOs,1,19,298236.00
Total,"5,242","6,681,929",277700108079.00
Approvals through 05/31/2021,,,
